"Category","Product","Type","Spec"
"Botulinum Toxins","Innotox 50Units","Botulinum Toxin Type A","50Units / Vial"
"Botulinum Toxins","Innotox 100Units","","100Units / Vial"
"Botulinum Toxins","Coretox 100Units","","100Units / Vial"
"Botulinum Toxins","Meditoxin 100Units","","100Units / Vial"
"Botulinum Toxins","Meditoxin 150Units","","150Units / Vial"
"Botulinum Toxins","Meditoxin 200Units","","200Units / Vial"
"Botulinum Toxins","Botulax 100Units","","100Units / Vial"
"Botulinum Toxins","Botulax 200Units","","200Units / Vial"
"Botulinum Toxins","Botulax 300Units","","300Units / Vial"
"Botulinum Toxins","Nabota 100Units","","100Units / Vial"
"Botulinum Toxins","Nabota 200Units","","200Units / Vial"
"Botulinum Toxins","Liztox 100Units","","100Units / Vial"
"Botulinum Toxins","Liztox 200Units","","200Units / Vial"
"Botulinum Toxins","Hutox 100Units","","100Units / Vial"
"Botulinum Toxins","Hutox 200Units","","200Units / Vial"
"Botulinum Toxins","Jtok 100Units","","100Units / Vial"
"Botulinum Toxins","Jtok 200Units","","200Units / Vial"
"Botulinum Toxins","Toxpia 100Units","","100Units / Vial"
"Botulinum Toxins","Toxpia 200Units","","200Units / Vial"
"Botulinum Toxins","Dysport 500Units","","500Units / Vial"
"Dermal Fillers","The Chaeum Premium No.1","","1.1ml x 2Syringes"
"Dermal Fillers","The Chaeum Premium No.2","","1.1ml x 2Syringes"
"Dermal Fillers","The Chaeum Premium No.3","","1.1ml x 2Syringes"
"Dermal Fillers","The Chaeum Premium No.4","","1.1ml x 2Syringes"
"Dermal Fillers","Revolax Sub-Q","","1.1ml x 1Syringe"
"Dermal Fillers","Revolax Deep","","1.1ml x 1Syringe"
"Dermal Fillers","Revolax Fine","","1.1ml x 1Syringe"
"Dermal Fillers","Dermalax Implant Plus","","1.1ml x 2Syringes"
"Dermal Fillers","Dermalax Deep Plus","","1.1ml x 1Syringe"
"Dermal Fillers","Dermalax Plus","","1.1ml x 1Syringe"
"Dermal Fillers","Bellast Ultra Plus","","1ml x 1Syringe"
"Dermal Fillers","Bellast Ultra L","","1ml x 1Syringe"
"Dermal Fillers","Bellast Ultra Soft L","","1ml x 1Syringe"
"Dermal Fillers","VOM Volume","","1ml x 2Syringes"
"Dermal Fillers","VOM Intensive","","1ml x 2Syringes"
"Dermal Fillers","VOM Light","","1ml x 2Syringes"
"Dermal Fillers","EPTQ S500","","1ml x 1Syringe"
"Dermal Fillers","EPTQ S300","","1ml x 1Syringe"
"Dermal Fillers","EPTQ S100","","1ml x 1Syringe"
"Dermal Fillers","REGENOVUE Sub-Q Plus","","1ml x 1Syringe"
"Dermal Fillers","REGENOVUE Deep Plus","","1ml x 1Syringe"
"Dermal Fillers","REGENOVUE Fine Plus","","1ml x 1Syringe"
"Dermal Fillers","Neuramis Volume Lidocaine","","1.1ml x 1Syringe"
"Dermal Fillers","Neuramis Deep Lidocaine","","1.1ml x 1Syringe"
"Dermal Fillers","Neuramis Lidocaine","","1.1ml x 1Syringe"
"Dermal Fillers","Elravie Premier Ultra Volume-L","","1ml x 1Syringe"
"Dermal Fillers","Elravie Premier Deep Line-L","","1ml x 1Syringe"
"Dermal Fillers","Elravie Premier Light-L","","1ml x 1Syringe"
"Dermal Fillers","ELASTY G Plus","","1ml x 2Syringes"
"Dermal Fillers","ELASTY D Plus","","1ml x 2Syringes"
"Dermal Fillers","ELASTY F Plus","","1ml x 2Syringes"
"Dermal Fillers","Juvederm Voluma","","1ml x 2Syringes"
"Dermal Fillers","Juvederm Volux","","1ml x 2Syringes"
"Dermal Fillers","Juvederm Volift","","1ml x 2Syringes"
"Dermal Fillers","Juvederm Volbella","","1ml x 2Syringes"
"Dermal Fillers","Juvederm Ultra XC","","1ml x 2Syringes"
"Dermal Fillers","Restylan Lidocaine","","1ml x 1Syringe"
"Dermal Fillers","Restylan Lyft Lidocaine","","1ml x 1Syringe"
"Dermal Fillers","Restylan Volyme","","1ml x 1Syringe"
"Dermal Fillers","Restylan Defyne","","1ml x 1Syringe"
"Dermal Fillers","Restylan Refyne","","1ml x 1Syringe"
"Dermal Fillers","Restylan Kysee","","1ml x 1Syringe"
"Dermal Fillers","Lipssom","","1.2ml x 1Syringe"
"Dermal Fillers","DermArcane Implant","","1.1ml x 1Syringe"
"Dermal Fillers","DermArcane Shape","","1.1ml x 1Syringe"
"Dermal Fillers","DermArcane Deep","","1.1ml x 1Syringe"
"Dermal Fillers","DermArcane Fine","","1.1ml x 1Syringe"
"Exosomes","Cellexor Re:Tone","EXOSOMES","100mg x 1Vialx & 5ml x 5Vials"
"Skin Boosters","Kiara Reju","PDRN","2.2ml x 3Syringes"
"Skin Boosters","REVS PRO 32","","2ml x 1Syringes"
"Skin Boosters","PINK DROP","","5ml x 5Vials"
"Skin Boosters","Rejuran Healer","PN","2ml x 2Syringes"
"Skin Boosters","Rejuran i","PN","1ml x 1Syringe"
"Skin Boosters","Rejuran S","PN","1ml x 1Syringe"
"Skin Boosters","Rejuran HB Plus","PN","1ml x 1Syringe"
